Age,Gender,Education,Occupation,ExerciseFreq,WearableDuration,WearableUseFreq,TrackingFreq,RoutineImpact,Has the fitness wearable helped you stay motivated to exercise?,Do you think that the fitness wearable has made exercising more enjoyable?,Engagement,CommunityConnection,GoalImpact,HealthImpact,SleepImpact,WellbeingImpact,InfluenceExercise,InfluencePurchase,InfluenceGym,InfluenceDiet
18-24,Male,Some college or associate degree,Student,5 or more times a week,Less than 6 months,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Agree,No impact on achieving my goals,No impact on my overall health,Agree,Neutral,Strongly agree,Neutral,Agree,Agree
Under 18,Male,Bachelor's degree,Student,5 or more times a week,Less than 6 months,3-4 times a week,Once a week,Positively impacted my fitness routine,Neutral,Agree,Somewhat engaged,Agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral
18-24,Female,Bachelor's degree,Student,Less than once a week,Less than 6 months,Rarely,Rarely,Positively impacted my fitness routine,Strongly agree,Agree,Not very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree
25-34,Female,Some college or associate degree,Employed part-time,3-4 times a week,6-12 months,3-4 times a week,Every day,I don't know,Strongly agree,Agree,Somewhat engaged,Strongly agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Strongly agree,Agree,Disagree,Neutral,Agree
18-24,Male,Bachelor's degree,Student,1-2 times a week,Less than 6 months,Daily,Every other day,Positively impacted my fitness routine,Neutral,Agree,Neutral,Agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree
18-24,Female,Master's degree,Employed full-time,5 or more times a week,1-2 years,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
18-24,Male,Bachelor's degree,Student,Less than once a week,1-2 years,1-2 times a week,Once a week,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Strongly agree,Helped me achieve my goals much more quickly,Improved my overall health significantly,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Neutral
18-24,Female,Bachelor's degree,Student,Less than once a week,Less than 6 months,Daily,Once a month,No impact on my fitness routine,Agree,Agree,Very engaged,Strongly agree,Helped me achieve my goals somewhat more quickly,Improved my overall health somewhat,Agree,Agree,Agree,Disagree,Agree,Agree
18-24,Male,High school diploma,Employed part-time,1-2 times a week,Less than 6 months,1-2 times a week,Every other day,Positively impacted my fitness routine,Strongly agree,Agree,Very engaged,Neutral,Helped me achieve my goals much more quickly,Improved my overall health significantly,Agree,Agree,Neutral,Agree,Agree,Agree
35-44,Male,High school diploma,Employed full-time,Less than once a week,6-12 months,Daily,Every day,Positively impacted my fitness routine,Strongly agree,Strongly agree,Very engaged,Agree,Helped me achieve my goals much more quickly,Improved my overall health somewhat,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree
